"Lewis_Battle" "Lewis_Caspian" "Lewis_Chair_1" "Lewis_Chair_2" "Lewis_Horse" "Lewis_Magician" "Lewis_Voyage" "Lewis_Wardrobe" "Paolini_Brisingr_1" "Paolini_Brisingr_2" "Paolini_Eldest_1" "Paolini_Eldest_2" "Paolini_Eragon_1" "Paolini_Eragon_2" "Paolini_Inheritance_1" "Paolini_Inheritance_2" "Rowling_Azkaban" "Rowling_Chamber" "Rowling_Goblet" "Rowling_Halfblood" "Rowling_Hallows" "Rowling_Order_1" "Rowling_Order_2" "Rowling_Sorcerer" "Tolkien_Fellowship_1" "Tolkien_Fellowship_2" "Tolkien_Hobbit_1" "Tolkien_Hobbit_2" "Tolkien_King_1" "Tolkien_King_2" "Tolkien_Tower_1" "Tolkien_Tower_2"
"doubtless" 0.03 0 0.01 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0
"draco" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.02 0.02 0 0.02 0 0 0 0 0 0 0 0 0 0
"dragonhold" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"dress" 0 0 0.03 0 0 0 0 0 0.03 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"drifted" 0 0 0.01 0 0 0 0 0 0 0.01 0.03 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0.01 0 0
"drops" 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0.02 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0.02 0.01
"drowned" 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0.01 0 0.02 0 0 0 0 0 0
"duffers" 0 0 0 0 0 0 0.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"dûrgrimst" 0 0 0 0 0 0 0 0 0 0.07 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ead" 0 0 0 0 0 0.01 0 0 0 0 0 0 0.03 0.03 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"echoing" 0 0 0.01 0 0 0 0.01 0 0 0.01 0.01 0 0 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0
"elsewhere" 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0.01 0.03 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0
"emeth" 0.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"entirely" 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0.01 0 0 0.01 0 0 0.01 0.01 0 0 0 0.01 0.01 0 0 0 0
"eventually" 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0
"everywhere" 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0.02 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0
"examining" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0.02 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0
"excuse" 0 0 0 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0 0 0.02 0 0 0 0 0.01 0 0 0 0 0 0.01 0.01
"farther" 0 0.01 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0.01 0.02 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0
"features" 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0.01 0
"fireplace" 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0 0 0 0 0 0.02 0.03 0 0 0 0 0 0 0 0
"fisherman" 0 0 0 0 0.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"fond" 0.01 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0.02 0.01 0.01 0 0 0 0 0
"footsteps" 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.02 0.01 0.01 0 0 0 0.02 0 0 0 0.01 0 0 0 0 0.01 0
"fragments" 0 0 0 0.01 0 0 0 0 0 0.03 0 0.02 0 0 0 0 0 0 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0 0
"gives" 0 0.02 0 0.02 0 0 0 0 0 0 0 0.01 0 0.02 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0
"gloomy" 0 0.01 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0 0.02
"glowed" 0 0 0 0 0 0 0 0 0.01 0.02 0.01 0 0.02 0 0.02 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"goodness" 0.01 0.02 0.01 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0
"groped" 0 0 0 0 0.01 0 0 0.01 0.01 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0.01 0
"happily" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0.04 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0
"heed" 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.04 0.01 0 0 0.01 0 0.01
"hill-top" 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0 0 0.02 0 0
"hind" 0.01 0 0 0 0 0.03 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0
"hither" 0.02 0 0 0.02 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.01 0 0
"holidays" 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.03 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
"honor" 0 0 0 0 0 0 0 0 0 0.05 0 0.02 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0
"hooded" 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0.01 0 0.02 0
"hook" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.07 0 0 0 0
"hufflepuff" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0
"hugged" 0 0 0 0 0 0 0 0 0.01 0 0.03 0 0.01 0.01 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0
"hunt" 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0.02 0.01 0 0 0
"i^d" 0 0 0.01 0.02 0 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0
"insisted" 0 0 0 0 0 0.01 0 0 0 0.01 0 0.01 0 0.01 0.01 0.02 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0
"jaw" 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0.02 0 0 0.01 0.02 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0
"kindness" 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0.01 0 0 0.02
"kiss" 0.01 0 0.01 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0.04 0 0.01 0 0 0 0 0 0 0 0 0 0 0
"knee" 0 0 0 0.01 0.02 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0.01 0.01 0 0
"knot" 0 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0.02 0 0 0 0 0 0.01 0.02 0 0.01 0 0 0 0 0 0 0 0
"knuckles" 0 0 0 0 0 0.01 0 0 0.01 0.02 0.01 0.01 0 0 0 0.02 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"kvîstor" 0 0 0 0 0 0 0 0 0 0.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"lack" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0.01 0 0.01 0.01 0 0 0.01 0.01 0 0 0.01 0 0 0
"lad" 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0.05 0 0 0
"laden" 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.04 0 0 0 0.01 0 0
"landing" 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0.02 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0
"laying" 0 0.01 0 0 0.01 0 0 0 0 0 0 0.02 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0.01 0 0.01
"leader" 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.05 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0
"lied" 0.01 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0.01 0.01 0.02 0.01 0 0 0 0 0 0 0 0.01
"lighted" 0 0.01 0.03 0.02 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0
"likes" 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0 0.01 0 0 0
"limbs" 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0.02 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.02 0 0.01
"loved" 0 0.01 0 0 0.01 0.01 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0
"lunch" 0 0 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0.02 0 0.02 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0
"marriage" 0 0 0 0.01 0.06 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"marry" 0 0 0 0 0.03 0 0 0 0.02 0 0.02 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"members" 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.02 0.03 0.02 0 0.01 0 0 0 0 0 0 0
"menace" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0.06
"minas" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.05 0 0.03 0.01
"mistaken" 0.02 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0.01 0.01 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"moor" 0 0 0.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0
"mortal" 0 0 0.01 0.03 0 0 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0
"mossy" 0 0.01 0 0 0.01 0 0 0.01 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0.02 0
"mounds" 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.03 0 0 0.02 0 0 0.02
"muffled" 0 0.02 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0 0 0.01 0.02 0 0 0 0 0 0
"nervous" 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0.02 0.02 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0
"nod" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.04 0.01 0 0 0.01 0.02 0 0 0 0 0
"nodding" 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.02 0.03 0.01 0 0.01 0 0.01 0 0 0 0 0
"nostrils" 0.01 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0.01 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0.01
"nowhere" 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0.03 0 0 0.01 0 0 0 0 0.01 0 0 0
"oaks" 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0.03 0.02 0 0 0.01 0
"oars" 0 0.02 0 0.02 0.01 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0
"objects" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0 0 0 0 0.02 0.03 0 0 0 0 0 0 0 0 0 0 0 0
"overcome" 0 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0 0.01 0 0 0.01 0 0 0 0 0.01 0 0 0.01 0 0 0.02 0 0 0
"overheard" 0 0.01 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0.02
"pairs" 0 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0.01 0.01 0 0 0.01 0 0 0 0 0 0.02 0.01 0 0 0 0
"patch" 0 0 0.01 0.01 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0 0.01 0 0.01 0 0 0.01 0 0 0 0 0.01 0 0 0 0
"peaks" 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0.01 0 0.01
"penalty" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"permission" 0 0 0 0 0.01 0 0 0 0 0.01 0.02 0 0 0 0 0.03 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
"pitch" 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.02 0 0.05 0 0 0 0 0 0 0 0.01 0 0 0 0
"plainly" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0 0 0.01 0 0 0 0 0.01 0.01 0.01 0 0.02
"planned" 0 0 0 0.01 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0.01 0 0 0 0.01 0 0 0 0.02 0 0 0 0 0
"plate" 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0.02 0 0.02 0.01 0.01 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0
"pot" 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0.02 0 0 0 0.02 0 0 0 0.01 0 0 0 0 0
"pounding" 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0 0 0 0.02 0.01 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0
"prisoner" 0 0 0 0.04 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0
"progress" 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0.01 0.01 0 0 0.04 0 0 0 0 0 0 0 0.01 0 0
"protected" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 0.04 0 0 0 0 0 0 0 0.02 0 0 0 0 0.01 0 0 0 0
"quill" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.04 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0
"quiver" 0 0.02 0 0 0 0 0 0.01 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0
"rabbits" 0 0 0 0 0.01 0.01 0 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.01 0 0 0 0
"raising" 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0.01 0.01 0 0.05 0 0 0 0 0 0 0 0 0 0
"receive" 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0 0 0 0 0 0 0 0.01 0.01 0 0 0.01 0.01 0 0.01 0 0 0.01
"records" 0 0 0 0 0 0 0 0 0 0 0 0.01 0.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"reflected" 0 0 0 0 0 0 0 0.01 0.01 0 0.01 0.01 0.01 0 0.01 0 0.01 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0
"request" 0 0 0 0 0 0 0 0 0.03 0.01 0 0.01 0 0 0 0 0 0 0 0.03 0 0 0.01 0 0 0 0 0 0 0 0 0
"rescue" 0.01 0 0 0 0 0 0 0.02 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0.01 0 0 0 0 0
"rescued" 0 0 0 0 0 0 0 0.02 0 0 0 0.01 0 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0 0.01 0 0 0.01 0.01 0
"respect" 0 0 0 0 0 0 0 0 0.01 0 0 0.02 0 0 0.01 0.01 0 0 0 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0
"response" 0 0 0 0 0 0 0 0 0.02 0.01 0.02 0.01 0 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"rich" 0.01 0.01 0.01 0.01 0 0 0 0.01 0 0 0 0 0.02 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"rivers" 0 0 0.02 0 0.03 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0
"rules" 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0.01 0 0 0 0.02 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0
"sadly" 0.01 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0.01 0 0.01 0 0.01 0.01 0 0 0 0 0 0.01 0.01 0
"safer" 0 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0.01
"sake" 0.01 0.01 0.01 0 0.01 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0
"satisfaction" 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0.02 0.01 0 0 0 0.01 0.01 0.01 0 0 0 0 0 0 0 0.01 0 0
"scene" 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0.01 0 0 0 0 0 0.02 0 0.03 0 0 0 0 0 0 0 0 0 0 0 0
"scored" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0.04 0 0 0 0 0 0.01 0 0 0 0.01 0 0
"self" 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0.01 0 0.01 0.02 0 0 0 0 0 0 0 0 0.02
"sell" 0 0 0 0 0.05 0.01 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0
"series" 0 0 0 0 0 0.02 0.01 0 0 0.01 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0
"serpent" 0 0 0.02 0.05 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"servant" 0.01 0 0 0 0.02 0 0 0 0 0 0 0 0.01 0.02 0 0.01 0 0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0
"shan" 0 0.01 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0.01 0 0.01 0 0
"ships" 0.01 0 0 0.03 0.01 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0
"shops" 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.07 0 0 0 0 0 0 0 0
"showing" 0.01 0.01 0 0 0 0 0.01 0.02 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0
"shown" 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0.03 0 0 0.01 0 0 0 0 0.01 0 0 0 0
"sixteen" 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0.01 0 0 0.01 0.02 0.01 0 0 0 0 0 0 0 0
"slytherins" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.02 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0
"smashed" 0.01 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0.01 0.03 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0
"somewhat" 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0.02 0 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0 0.01 0
"sped" 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0.02 0.01 0 0 0 0.01 0.01 0 0 0 0 0.01 0 0
"spun" 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0.01 0 0.02 0.02 0.01 0 0.01 0 0 0 0 0 0 0 0 0
"stage" 0.02 0.01 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0.01 0.01
"staggered" 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0.01 0 0.01 0 0 0.01 0 0 0 0.01 0 0 0 0.03 0 0
"stands" 0 0 0.01 0.01 0.01 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0 0.01 0 0 0
"sticks" 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0
"stir" 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0.01 0 0 0.02 0 0.01 0.01 0 0 0.01
"stumbling" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.03 0 0 0.02 0.03 0 0
"succeeded" 0 0.01 0.01 0 0 0.01 0 0 0.02 0 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0
"success" 0 0.01 0 0 0.01 0 0.01 0 0.01 0.02 0 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"suffering" 0 0 0 0 0 0 0 0 0.01 0 0.01 0.01 0.02 0 0 0 0 0 0 0.01 0 0.01 0.02 0 0 0 0 0 0 0 0 0
"suit" 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0
"swayed" 0 0 0 0 0 0.01 0 0 0 0.01 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0.03 0.01 0
"swear" 0.03 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0
"swooped" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0.02 0 0.01 0 0.01 0 0 0.04 0 0 0 0 0
"takes" 0 0 0 0.01 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0.01 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0
"tells" 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.02 0 0.01 0 0.01 0.01 0 0 0 0.01 0 0 0 0 0 0.01
"tents" 0 0 0 0 0 0 0 0 0.06 0 0.02 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"thy" 0.06 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0
"tones" 0 0 0 0.01 0 0 0 0.01 0.02 0 0.01 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"tonks" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07 0 0.02 0 0 0 0 0 0 0 0 0
"tournament" 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0.06 0 0 0 0 0 0 0 0 0 0 0 0 0
"tracks" 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.01 0 0.02 0 0 0.02 0 0.01 0 0.01 0 0 0 0
"trembled" 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0 0.01 0.01 0.01 0 0 0 0.01 0.01 0.02 0 0
"triwizard" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09 0 0 0 0 0 0 0 0 0 0 0 0 0
"tucked" 0 0 0 0 0 0 0 0 0.02 0 0.01 0 0.01 0 0 0 0.02 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0
"twitching" 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0.03 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0.01
"umbrella" 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.08 0 0 0 0 0 0 0 0
"underground" 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0.01 0.01 0.01 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0.01 0 0 0
"upper" 0 0.01 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0.02 0 0.01 0 0 0 0 0 0 0.01 0.01 0 0 0 0.01 0 0
"urge" 0 0 0 0 0.01 0 0 0 0.02 0.01 0 0.01 0 0 0.01 0.01 0 0.01 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0
"vague" 0 0 0 0.01 0 0.01 0 0 0.01 0.01 0.01 0 0 0.01 0 0 0 0 0 0 0.01 0 0.01 0 0.01 0 0 0 0 0 0 0
"valleys" 0 0 0.02 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0 0 0 0.01 0
